('O', 'X', 'X', 'O', 'X'):ㅅㅗㄹㅈㅣ
('O', 'X', 'X', 'O', 'V'):ㅁㅗㅇㄷㅡ
('V', 'X', 'O', 'O', 'X'):ㅇㅗㅐㅈㅜ
('X', 'V', 'X', 'X', 'O'):ㅅㅜㄹㅣㅂ
('V', 'V', 'V', 'X', 'V'):ㅍㅜㅣㄱㅡ
('X', 'X', 'O', 'O', 'X'):ㅅㅣㅂㄷㅐ
('O', 'V', 'V', 'X', 'X'):ㅈㅐㄱㅜㅣ
('O', 'O', 'V', 'O', 'X'):ㅈㅐㅅㅏㅂ
('X', 'O', 'O', 'V', 'X'):ㅈㅜㅅㄷㅐ
('V', 'O', 'V', 'X', 'X'):ㅇㅜㅁㅣㅇ
('O', 'X', 'V', 'V', 'X'):ㅈㅜㅣㅇㅕ
('O', 'O', 'V', 'X', 'V'):ㅇㅜㅣㅇㅛ
('X', 'O', 'O', 'O', 'X'):ㅅㅣㄹㅈㅏ
('O', 'O', 'X', 'X', 'O'):ㅁㅣㅎㅏㄹ
('V', 'O', 'X', 'V', 'X'):ㅂㅏㄹㅅㅐ
('X', 'X', 'O', 'V', 'O'):ㅅㅜㅣㅂㅓ
('O', 'O', 'X', 'V', 'X'):ㅂㅓㅁㄹㅠ
('V', 'X', 'V', 'X', 'V'):ㅇㅜㅣㄱㅕ
('O', 'V', 'X', 'X', 'V'):ㅅㅓㄴㅁㅜ
('X', 'X', 'V', 'O', 'O'):ㅂㅗㄹㅊㅣ
('V', 'O', 'X', 'X', 'O'):ㅍㅜㅎㅏㅅ
('O', 'X', 'O', 'X', 'V'):ㅈㅜㄹㅕㄱ
('X', 'O', 'V', 'O', 'X'):ㅁㅐㅈㅣㄹ
('O', 'X', 'X', 'V', 'O'):ㅅㅣㄹㅜㅓ
('X', 'V', 'X', 'V', 'V'):ㅅㅣㄴㄷㅏ
('X', 'O', 'O', 'X', 'V'):ㄴㅐㅈㅣㄹ
('X', 'V', 'V', 'V', 'O'):ㅈㅐㅅㅏㅂ
('V', 'X', 'V', 'V', 'V'):ㅇㅕㄱㅜㅣ
('X', 'X', 'V', 'V', 'O'):ㅁㅜㅓㅅㅣ
('X', 'V', 'O', 'V', 'X'):ㅁㅣㅅㅈㅏ
('X', 'O', 'V', 'O', 'V'):ㄴㅏㅈㅏㅁ
('V', 'V', 'O', 'X', 'X'):ㅇㅣㅅㅜㄱ
('X', 'V', 'O', 'O', 'X'):ㅇㅗㅣㅅㅜ
('V', 'X', 'O', 'X', 'V'):ㄱㅜㅣㄱㅐ
('V', 'V', 'X', 'V', 'O'):ㄷㅏㅅㅗㅁ
('X', 'X', 'O', 'O', 'O'):ㅇㅗㅣㅈㅔ
('V', 'X', 'X', 'V', 'O'):ㅈㅓㅁㅅㅜ
('V', 'X', 'V', 'X', 'O'):ㅇㅕㅊㅜㅣ
('V', 'V', 'X', 'X', 'O'):ㅈㅜㅅㄷㅐ
('X', 'O', 'V', 'V', 'V'):ㄷㅏㅂㅎㅗ
